movement_type,category,transaction_id,customer_id,vl_pix,lgbm_raw,if_percentile,se_score,beh_score,score_final,decisao,veto_suppressed_reason,diagnosis,seed
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,E0000020820260129161455923389525,8981427000120,2906.1,0.07558018,0.998507,80.0,20.0,75.16,CONFIRMAR,LGBM_GUARD_RAIL: VETO CONFIRMAR SE CRITICO | LGBM=0.0756 < 0.20,VETO_SUPPRESSED_BUT_CONFIRMOU,42
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,E0000020820260206125737205447525,2596120000129,3318.0,0.11809312,0.99801,80.0,20.0,80.7,CONFIRMAR,LGBM_GUARD_RAIL: VETO CONFIRMAR SE CRITICO | LGBM=0.1181 < 0.20,VETO_SUPPRESSED_BUT_CONFIRMOU,123
FP_REMOVIDO,FP_REMOVED_BY_GUARD,E0000020820260209150712833670525,39292223100,2000.0,0.02574611,0.99801,80.0,20.0,60.02,APROVAR,LGBM_GUARD_RAIL: VETO CONFIRMAR SE CRITICO | LGBM=0.0257 < 0.20,VETO_EFFECTIVE_APPROVE,123
